Tamanho,Threads,Tempo
100,1,9755100
100,1,452400
100,1,312800
100,1,279700
100,1,293100
100,1,283900
100,1,503100
100,1,916100
100,2,580000
100,2,365900
100,2,322700
100,2,391400
100,2,375200
100,2,283100
100,2,239100
100,2,285000
100,3,360500
100,3,294400
100,3,337300
100,3,310400
100,3,642300
100,3,288000
100,3,559600
100,3,587500
100,4,704200
100,4,495200
100,4,508200
100,4,366200
100,4,393900
100,4,310700
100,4,337900
100,4,352300
100,5,1786100
100,5,447800
100,5,633200
100,5,604100
100,5,940300
100,5,506400
100,5,541700
100,5,599500
100,6,764500
100,6,924000
100,6,707800
100,6,1089100
100,6,1079100
100,6,759400
100,6,803800
100,6,518800
100,7,526600
100,7,991800
100,7,884600
100,7,712200
100,7,1687100
100,7,1106200
100,7,647000
100,7,707800
100,8,614400
100,8,695100
100,8,564600
100,8,1441700
100,8,1174700
100,8,787300
100,8,846600
100,8,748200
500,1,571500
500,1,565500
500,1,519900
500,1,615200
500,1,674200
500,1,740400
500,1,563700
500,1,511500
500,2,316500
500,2,291000
500,2,380600
500,2,309200
500,2,287700
500,2,284700
500,2,255000
500,2,255300
500,3,263800
500,3,288000
500,3,288200
500,3,277300
500,3,284500
500,3,481500
500,3,457900
500,3,394800
500,4,818200
500,4,356500
500,4,383600
500,4,348700
500,4,387300
500,4,1186300
500,4,423100
500,4,318400
500,5,456500
500,5,454100
500,5,1369900
500,5,624300
500,5,599200
500,5,818800
500,5,426700
500,5,576200
500,6,535600
500,6,460500
500,6,419200
500,6,457900
500,6,586500
500,6,1014000
500,6,658600
500,6,503800
500,7,665800
500,7,527700
500,7,664700
500,7,415800
500,7,439400
500,7,440600
500,7,473500
500,7,566300
500,8,1172000
500,8,983600
500,8,903600
500,8,649100
500,8,537700
500,8,610500
500,8,671000
500,8,665900
1000,1,1671200
1000,1,1530700
1000,1,1851400
1000,1,1413500
1000,1,1475200
1000,1,1691800
1000,1,1609000
1000,1,1442200
1000,2,529400
1000,2,502200
1000,2,510400
1000,2,677000
1000,2,694900
1000,2,665800
1000,2,579400
1000,2,527800
1000,3,423700
1000,3,395500
1000,3,368500
1000,3,405800
1000,3,405100
1000,3,387500
1000,3,371000
1000,3,355500
1000,4,375000
1000,4,484700
1000,4,523100
1000,4,566700
1000,4,834300
1000,4,1394500
1000,4,615500
1000,4,446000
1000,5,397500
1000,5,409000
1000,5,353400
1000,5,361000
1000,5,661700
1000,5,1062400
1000,5,568600
1000,5,618100
1000,6,443900
1000,6,419400
1000,6,437900
1000,6,388500
1000,6,418300
1000,6,419100
1000,6,454100
1000,6,463800
1000,7,579900
1000,7,1114800
1000,7,804300
1000,7,635900
1000,7,648100
1000,7,445800
1000,7,933600
1000,7,506600
1000,8,481800
1000,8,514500
1000,8,619200
1000,8,2367400
1000,8,745300
1000,8,705600
1000,8,726300
1000,8,965700
3500,1,11095300
3500,1,11059900
3500,1,11171700
3500,1,12081800
3500,1,10846400
3500,1,11346700
3500,1,11219700
3500,1,11065200
3500,2,4805000
3500,2,4489500
3500,2,4287300
3500,2,4405000
3500,2,3841300
3500,2,4537300
3500,2,4487400
3500,2,4917500
3500,3,3169900
3500,3,2224400
3500,3,2587100
3500,3,2734700
3500,3,2014000
3500,3,2741500
3500,3,2026300
3500,3,2459300
3500,4,1868600
3500,4,1989000
3500,4,1356200
3500,4,1697500
3500,4,3104400
3500,4,1503000
3500,4,1279100
3500,4,1404800
3500,5,2637100
3500,5,1310000
3500,5,1473200
3500,5,1197700
3500,5,2013700
3500,5,1283400
3500,5,1692400
3500,5,1248700
3500,6,1333100
3500,6,1495100
3500,6,976400
3500,6,1084300
3500,6,926200
3500,6,884800
3500,6,1904600
3500,6,1501800
3500,7,1004900
3500,7,841800
3500,7,836100
3500,7,905800
3500,7,1136400
3500,7,1293700
3500,7,1182900
3500,7,954800
3500,8,769200
3500,8,852400
3500,8,1113800
3500,8,1837800
3500,8,1445600
3500,8,1128200
3500,8,805200
3500,8,1077300
5000,1,18755600
5000,1,19442500
5000,1,18432800
5000,1,18396000
5000,1,19754400
5000,1,20057900
5000,1,19555000
5000,1,19940400
5000,2,7115700
5000,2,8094900
5000,2,7792100
5000,2,7835700
5000,2,6961700
5000,2,6939800
5000,2,8811500
5000,2,7262500
5000,3,4602300
5000,3,4305900
5000,3,4380100
5000,3,4653200
5000,3,4237600
5000,3,3593600
5000,3,4391000
5000,3,3627300
5000,4,3049600
5000,4,2392600
5000,4,2770900
5000,4,4161400
5000,4,2889500
5000,4,3452900
5000,4,2764700
5000,4,3388400
5000,5,1992000
5000,5,2645200
5000,5,2255600
5000,5,1960900
5000,5,2569700
5000,5,2288600
5000,5,1918200
5000,5,3366500
5000,6,1591400
5000,6,1568500
5000,6,2172400
5000,6,2149700
5000,6,1867900
5000,6,1674700
5000,6,2127000
5000,6,1591000
5000,7,1460500
5000,7,1245600
5000,7,2474800
5000,7,1761200
5000,7,1262500
5000,7,1387200
5000,7,2257300
5000,7,1794800
5000,8,1124500
5000,8,1347200
5000,8,1967400
5000,8,2335700
5000,8,1210900
5000,8,1413100
5000,8,2652200
5000,8,1627700
