Tamanho,Threads,Tempo
100,1,620900
100,2,531600
100,3,495900
100,4,495100
100,5,536200
100,6,513300
100,7,617800
100,8,753000
100,1,334200
100,2,269700
100,3,335600
100,4,422800
100,5,455400
100,6,514400
100,7,747100
100,8,697400
100,1,335300
100,2,305200
100,3,343500
100,4,463800
100,5,539600
100,6,517400
100,7,648400
100,8,727400
100,1,358800
100,2,1538900
100,3,331200
100,4,405400
100,5,457700
100,6,546400
100,7,619900
100,8,731800
100,1,395300
100,2,275800
100,3,338400
100,4,407900
100,5,511400
100,6,543200
100,7,591600
100,8,717800
100,1,326200
100,2,262900
100,3,329900
100,4,384900
100,5,425100
100,6,506700
100,7,645900
100,8,711000
100,1,292100
100,2,271800
100,3,311500
100,4,475000
100,5,492500
100,6,585000
100,7,689600
100,8,792300
100,1,274600
100,2,340200
100,3,359600
100,4,399500
100,5,543300
100,6,542700
100,7,648300
100,8,761000
500,1,464100
500,2,617400
500,3,442600
500,4,531100
500,5,581300
500,6,797100
500,7,767900
500,8,865500
500,1,473200
500,2,398900
500,3,494100
500,4,599800
500,5,647800
500,6,871800
500,7,889700
500,8,2501100
500,1,647900
500,2,578200
500,3,519400
500,4,664300
500,5,974200
500,6,927900
500,7,989200
500,8,975900
500,1,731300
500,2,583300
500,3,593100
500,4,836600
500,5,850300
500,6,1115200
500,7,1047300
500,8,1459700
500,1,936100
500,2,1138800
500,3,995800
500,4,808000
500,5,969000
500,6,1089500
500,7,1040100
500,8,974500
500,1,483800
500,2,349300
500,3,344200
500,4,482400
500,5,545200
500,6,764500
500,7,745300
500,8,937500
500,1,653100
500,2,370400
500,3,440200
500,4,534600
500,5,655200
500,6,701700
500,7,838900
500,8,1086500
500,1,439600
500,2,360600
500,3,403000
500,4,619000
500,5,626600
500,6,823700
500,7,771600
500,8,843200
1000,1,644600
1000,2,577900
1000,3,677000
1000,4,693800
1000,5,704700
1000,6,1086600
1000,7,1206000
1000,8,1277100
1000,1,534800
1000,2,581200
1000,3,715100
1000,4,771500
1000,5,1078200
1000,6,821700
1000,7,1075000
1000,8,1117500
1000,1,598200
1000,2,699900
1000,3,579400
1000,4,818100
1000,5,939300
1000,6,939300
1000,7,939200
1000,8,870900
1000,1,769200
1000,2,594300
1000,3,842000
1000,4,815300
1000,5,890300
1000,6,2245100
1000,7,1065800
1000,8,994700
1000,1,567500
1000,2,427800
1000,3,491800
1000,4,547200
1000,5,706600
1000,6,962600
1000,7,972200
1000,8,976400
1000,1,590000
1000,2,494600
1000,3,598800
1000,4,611400
1000,5,698000
1000,6,831700
1000,7,768200
1000,8,806500
1000,1,511400
1000,2,547300
1000,3,710400
1000,4,728800
1000,5,923900
1000,6,710100
1000,7,855600
1000,8,971500
1000,1,551100
1000,2,465700
1000,3,583000
1000,4,772800
1000,5,858800
1000,6,815500
1000,7,805000
1000,8,869300
3500,1,1408200
3500,2,2404700
3500,3,2325100
3500,4,1528600
3500,5,1108400
3500,6,1594500
3500,7,1553700
3500,8,1670500
3500,1,1062600
3500,2,2154900
3500,3,2229000
3500,4,1961500
3500,5,1644500
3500,6,1522300
3500,7,1451200
3500,8,1566700
3500,1,1654300
3500,2,4050200
3500,3,1710500
3500,4,1642800
3500,5,1240300
3500,6,1303500
3500,7,1647700
3500,8,1507400
3500,1,1055300
3500,2,816200
3500,3,891700
3500,4,1230900
3500,5,1111100
3500,6,1354000
3500,7,1118000
3500,8,1039300
3500,1,862600
3500,2,1036900
3500,3,999100
3500,4,785300
3500,5,928500
3500,6,855300
3500,7,861900
3500,8,987500
3500,1,837400
3500,2,697900
3500,3,819100
3500,4,875100
3500,5,1011500
3500,6,1013700
3500,7,900000
3500,8,932300
3500,1,801000
3500,2,675500
3500,3,792600
3500,4,952100
3500,5,919400
3500,6,968800
3500,7,901200
3500,8,1238800
3500,1,787000
3500,2,751300
3500,3,756100
3500,4,783100
3500,5,919600
3500,6,786800
3500,7,822800
3500,8,909600
5000,1,958100
5000,2,762700
5000,3,817100
5000,4,857400
5000,5,926800
5000,6,1119300
5000,7,1165500
5000,8,1171200
5000,1,1185700
5000,2,836900
5000,3,1007300
5000,4,810300
5000,5,1165600
5000,6,1115800
5000,7,2105400
5000,8,1103300
5000,1,1115200
5000,2,1048800
5000,3,992200
5000,4,877700
5000,5,820000
5000,6,837700
5000,7,1067000
5000,8,1033700
5000,1,969200
5000,2,873800
5000,3,783300
5000,4,767400
5000,5,824900
5000,6,900300
5000,7,1028000
5000,8,1590800
5000,1,1055200
5000,2,852700
5000,3,814300
5000,4,919900
5000,5,849100
5000,6,872600
5000,7,915600
5000,8,879800
5000,1,1011800
5000,2,1138200
5000,3,1087000
5000,4,1132200
5000,5,1066500
5000,6,934700
5000,7,1080000
5000,8,1075400
5000,1,1113700
5000,2,779300
5000,3,766700
5000,4,713400
5000,5,727200
5000,6,800600
5000,7,834400
5000,8,856400
5000,1,1039100
5000,2,647100
5000,3,688500
5000,4,692200
5000,5,771400
5000,6,739200
5000,7,843000
5000,8,940000
