Tamanho,Threads,Tempo
100,1,1042800
100,1,314200
100,1,506200
100,1,299500
100,1,289800
100,1,282800
100,1,335300
100,1,269800
100,2,390800
100,2,397900
100,2,378400
100,2,380900
100,2,347300
100,2,374400
100,2,393400
100,2,380500
100,3,438500
100,3,459700
100,3,457700
100,3,453100
100,3,585500
100,3,491700
100,3,472400
100,3,514700
100,4,580100
100,4,596300
100,4,451100
100,4,482400
100,4,508300
100,4,587200
100,4,497300
100,4,503600
100,5,578400
100,5,595100
100,5,728400
100,5,570800
100,5,1898700
100,5,822100
100,5,643400
100,5,693300
100,6,815000
100,6,658400
100,6,567500
100,6,576000
100,6,777500
100,6,556800
100,6,544500
100,6,592000
100,7,584400
100,7,541900
100,7,513600
100,7,564700
100,7,576300
100,7,595100
100,7,610000
100,7,579500
100,8,589900
100,8,741200
100,8,698100
100,8,678900
100,8,561900
100,8,567500
100,8,639600
100,8,701100
500,1,559700
500,1,471100
500,1,563300
500,1,484500
500,1,532000
500,1,651800
500,1,538600
500,1,406300
500,2,500800
500,2,554200
500,2,477600
500,2,521900
500,2,508300
500,2,504600
500,2,603800
500,2,501000
500,3,580200
500,3,603300
500,3,494100
500,3,511200
500,3,503600
500,3,523900
500,3,495800
500,3,481500
500,4,731600
500,4,654400
500,4,510800
500,4,499600
500,4,454100
500,4,479400
500,4,472700
500,4,465600
500,5,545000
500,5,545600
500,5,556100
500,5,527100
500,5,591000
500,5,652600
500,5,533100
500,5,534300
500,6,523000
500,6,517700
500,6,500700
500,6,531700
500,6,504000
500,6,592600
500,6,666200
500,6,593000
500,7,539700
500,7,527300
500,7,497200
500,7,512400
500,7,643000
500,7,536800
500,7,514100
500,7,540300
500,8,512800
500,8,679800
500,8,1860100
500,8,645800
500,8,541600
500,8,531400
500,8,506600
500,8,662200
1000,1,557100
1000,1,522400
1000,1,534800
1000,1,538600
1000,1,557600
1000,1,554800
1000,1,545200
1000,1,576000
1000,2,511500
1000,2,534700
1000,2,545200
1000,2,522700
1000,2,473300
1000,2,501300
1000,2,518700
1000,2,496200
1000,3,502800
1000,3,526500
1000,3,515300
1000,3,568500
1000,3,563200
1000,3,538000
1000,3,539300
1000,3,623600
1000,4,678300
1000,4,714400
1000,4,531200
1000,4,573700
1000,4,554100
1000,4,523500
1000,4,628300
1000,4,524100
1000,5,563400
1000,5,642800
1000,5,608600
1000,5,692700
1000,5,676000
1000,5,605400
1000,5,616900
1000,5,657200
1000,6,657400
1000,6,619200
1000,6,577200
1000,6,620100
1000,6,656500
1000,6,698200
1000,6,707500
1000,6,584200
1000,7,533500
1000,7,556100
1000,7,531300
1000,7,553600
1000,7,521200
1000,7,528100
1000,7,508600
1000,7,549100
1000,8,558400
1000,8,555000
1000,8,539100
1000,8,606100
1000,8,590500
1000,8,586900
1000,8,584900
1000,8,612600
3500,1,3648200
3500,1,3525900
3500,1,3556400
3500,1,3896400
3500,1,3492700
3500,1,3579000
3500,1,3546200
3500,1,3574900
3500,2,1528900
3500,2,1609300
3500,2,1590000
3500,2,1476300
3500,2,1426200
3500,2,1488900
3500,2,1485700
3500,2,1446000
3500,3,1029400
3500,3,1044300
3500,3,994300
3500,3,1048000
3500,3,1061600
3500,3,1007800
3500,3,1013600
3500,3,1004900
3500,4,1066900
3500,4,1037900
3500,4,990400
3500,4,1015900
3500,4,1028000
3500,4,1010900
3500,4,1005200
3500,4,1007100
3500,5,932500
3500,5,915900
3500,5,939000
3500,5,2203200
3500,5,1288900
3500,5,1046500
3500,5,975800
3500,5,903500
3500,6,1060200
3500,6,1016000
3500,6,1002500
3500,6,968700
3500,6,984600
3500,6,940900
3500,6,1213800
3500,6,1016500
3500,7,967700
3500,7,950300
3500,7,1041600
3500,7,1016900
3500,7,1054600
3500,7,1043900
3500,7,1026200
3500,7,915300
3500,8,920500
3500,8,1083000
3500,8,1020800
3500,8,1009300
3500,8,1022400
3500,8,1081900
3500,8,1106100
3500,8,1192500
5000,1,6835100
5000,1,7015900
5000,1,7050900
5000,1,7151300
5000,1,7290600
5000,1,6800800
5000,1,7065200
5000,1,6840400
5000,2,2261500
5000,2,2251100
5000,2,2275900
5000,2,2243700
5000,2,2215900
5000,2,2239700
5000,2,2225000
5000,2,2210200
5000,3,1308500
5000,3,1386000
5000,3,1391800
5000,3,1359300
5000,3,1434800
5000,3,1411400
5000,3,1389000
5000,3,1421700
5000,4,1272000
5000,4,1212100
5000,4,1205200
5000,4,1248800
5000,4,1182400
5000,4,1206400
5000,4,1222200
5000,4,1204800
5000,5,1001700
5000,5,1101400
5000,5,1162200
5000,5,1071500
5000,5,1092800
5000,5,1089700
5000,5,2495600
5000,5,1279000
5000,6,1193600
5000,6,1085200
5000,6,1118500
5000,6,1165700
5000,6,1075300
5000,6,1143900
5000,6,1083500
5000,6,1072600
5000,7,1088300
5000,7,1116900
5000,7,1092400
5000,7,1079200
5000,7,1027800
5000,7,1077900
5000,7,1106900
5000,7,1141800
5000,8,1084000
5000,8,1118900
5000,8,987100
5000,8,1051200
5000,8,1205900
5000,8,1173600
5000,8,1081500
5000,8,1110000
