Tamanho,Threads,Tempo
100,1,8771000
100,1,416700
100,1,359900
100,1,381200
100,1,295400
100,1,389800
100,1,323200
100,1,333900
100,2,369900
100,2,300500
100,2,412800
100,2,344300
100,2,347100
100,2,335600
100,2,363700
100,2,307700
100,3,318100
100,3,276100
100,3,257100
100,3,297600
100,3,358300
100,3,308900
100,3,286300
100,3,310700
100,4,295800
100,4,315300
100,4,307600
100,4,308900
100,4,255100
100,4,365100
100,4,306000
100,4,297700
100,5,279200
100,5,276400
100,5,289600
100,5,277900
100,5,356500
100,5,340100
100,5,245300
100,5,389600
100,6,342300
100,6,374200
100,6,316600
100,6,405900
100,6,347500
100,6,455600
100,6,272600
100,6,285300
100,7,231000
100,7,316600
100,7,305900
100,7,346700
100,7,392500
100,7,246900
100,7,343400
100,7,344400
100,8,348800
100,8,302000
100,8,326200
100,8,305600
100,8,349800
100,8,361600
100,8,2228900
100,8,621600
500,1,406000
500,1,367200
500,1,311700
500,1,447000
500,1,329400
500,1,405800
500,1,300500
500,1,331800
500,2,292300
500,2,444100
500,2,276800
500,2,285500
500,2,273000
500,2,361700
500,2,284000
500,2,318100
500,3,328700
500,3,327800
500,3,292000
500,3,332600
500,3,334400
500,3,279600
500,3,273400
500,3,309000
500,4,316800
500,4,444700
500,4,324400
500,4,308800
500,4,294700
500,4,327300
500,4,391700
500,4,418700
500,5,435300
500,5,396900
500,5,299900
500,5,326700
500,5,369600
500,5,339900
500,5,240200
500,5,203600
500,6,201500
500,6,204800
500,6,196200
500,6,185800
500,6,185500
500,6,185500
500,6,292600
500,6,206400
500,7,189600
500,7,182900
500,7,207300
500,7,195200
500,7,192400
500,7,196200
500,7,209200
500,7,197600
500,8,191500
500,8,190900
500,8,209200
500,8,206200
500,8,194200
500,8,188700
500,8,213500
500,8,229600
1000,1,231400
1000,1,219400
1000,1,208200
1000,1,220400
1000,1,206600
1000,1,182600
1000,1,183500
1000,1,181500
1000,2,217800
1000,2,215300
1000,2,243200
1000,2,247000
1000,2,224500
1000,2,298200
1000,2,235400
1000,2,244600
1000,3,232000
1000,3,239000
1000,3,241000
1000,3,239700
1000,3,230400
1000,3,240600
1000,3,280000
1000,3,223500
1000,4,211300
1000,4,213000
1000,4,208300
1000,4,222700
1000,4,205300
1000,4,204300
1000,4,211100
1000,4,203800
1000,5,212100
1000,5,205500
1000,5,204900
1000,5,204600
1000,5,200100
1000,5,211400
1000,5,209000
1000,5,203200
1000,6,200200
1000,6,263300
1000,6,257500
1000,6,244800
1000,6,250000
1000,6,237100
1000,6,233800
1000,6,221200
1000,7,219800
1000,7,206000
1000,7,223600
1000,7,223500
1000,7,225600
1000,7,213700
1000,7,216000
1000,7,261900
1000,8,262400
1000,8,293400
1000,8,246800
1000,8,246100
1000,8,240200
1000,8,260400
1000,8,249900
1000,8,308700
3500,1,343900
3500,1,351100
3500,1,338400
3500,1,318000
3500,1,310800
3500,1,298900
3500,1,331700
3500,1,365100
3500,2,360700
3500,2,393900
3500,2,354900
3500,2,456100
3500,2,365500
3500,2,400500
3500,2,409800
3500,2,362300
3500,3,411200
3500,3,380200
3500,3,380100
3500,3,464000
3500,3,409100
3500,3,486900
3500,3,343400
3500,3,378400
3500,4,333800
3500,4,371400
3500,4,350800
3500,4,466300
3500,4,387400
3500,4,353200
3500,4,333800
3500,4,370100
3500,5,338200
3500,5,312600
3500,5,324400
3500,5,318000
3500,5,354600
3500,5,372000
3500,5,423500
3500,5,461100
3500,6,345300
3500,6,336200
3500,6,326200
3500,6,343300
3500,6,322400
3500,6,312500
3500,6,337700
3500,6,311500
3500,7,319500
3500,7,321100
3500,7,317500
3500,7,341800
3500,7,312000
3500,7,312000
3500,7,332600
3500,7,317900
3500,8,335000
3500,8,322500
3500,8,323000
3500,8,336200
3500,8,313800
3500,8,324000
3500,8,345000
3500,8,411600
5000,1,463100
5000,1,431500
5000,1,408000
5000,1,400200
5000,1,425000
5000,1,379500
5000,1,374800
5000,1,380900
5000,2,292300
5000,2,1268900
5000,2,412500
5000,2,368300
5000,2,301300
5000,2,310600
5000,2,367600
5000,2,339900
5000,3,363500
5000,3,311200
5000,3,333000
5000,3,322100
5000,3,313200
5000,3,293600
5000,3,319300
5000,3,290300
5000,4,317500
5000,4,372800
5000,4,327400
5000,4,366300
5000,4,342100
5000,4,368900
5000,4,306500
5000,4,290300
5000,5,284400
5000,5,290900
5000,5,291500
5000,5,302900
5000,5,319600
5000,5,377900
5000,5,299100
5000,5,293600
5000,6,297100
5000,6,290000
5000,6,294100
5000,6,279500
5000,6,299700
5000,6,291600
5000,6,288900
5000,6,277200
5000,7,283000
5000,7,281800
5000,7,283500
5000,7,283500
5000,7,299400
5000,7,301400
5000,7,306400
5000,7,306400
5000,8,294900
5000,8,297800
5000,8,286000
5000,8,295300
5000,8,285700
5000,8,294400
5000,8,302000
5000,8,306900
